Organization,Measure,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014
LincolnHealth,Extraordinary Gains/Losses,,,,,
LincolnHealth,Total Surplus/Deficit,,,,,-344994
LincolnHealth,Total Change in Unrestricted Net Assets,,,,,-3126
LincolnHealth,Net Assets Released for Restrictions,,,,,
LincolnHealth,Unrealized Gains/Losses on Investments,,,,,426006
LincolnHealth,Minimum Pension Liability Adjustment,,,,,
LincolnHealth,Transfers From/To Affiliates,,,,,-595969
LincolnHealth,Mergers,,,,,
LincolnHealth,Consolidations with Support,,,,,
LincolnHealth,Other Changes,,,,,
Maine Behavioral Healthcare,Total Current Assets,,,,,24181214
Maine Behavioral Healthcare,Cash and Investment,,,,,17052428
Maine Behavioral Healthcare,Current Assets Whose Use is Limited,,,,,407264
Maine Behavioral Healthcare,Net Patient Accounts Receivable,,,,,5656950
Maine Behavioral Healthcare,Due from Affiliates,,,,,
Maine Behavioral Healthcare,Third Party Settlements Receivable,,,,,
Maine Behavioral Healthcare,Other Accounts Receivable,,,,,791301
Maine Behavioral Healthcare,Inventory,,,,,128987
Maine Behavioral Healthcare,Other Current Assets,,,,,144284
Maine Behavioral Healthcare,Total Non-Current Assets,,,,,30549190
Maine Behavioral Healthcare,Trustee Held Investments,,,,,97893
Maine Behavioral Healthcare,Board Designated and Undesignated Investments,,,,,601021
Maine Behavioral Healthcare,Due From Affiliates,,,,,
Maine Behavioral Healthcare,Investments in Affiliates,,,,,
Maine Behavioral Healthcare,Other Non-current Assets,,,,,1247612
Maine Behavioral Healthcare,"Gross Property, Plant and Equipment",,,,,
Maine Behavioral Healthcare,Accumulated Depreciation,,,,,18242440
Maine Behavioral Healthcare,"Net Property, Plant and Equipment",,,,,
Maine Behavioral Healthcare,Total Unrestricted Assets,,,,,54730404
Maine Behavioral Healthcare,Total Current Liabilities,,,,,7363330
Maine Behavioral Healthcare,Current Long Term Debt,,,,,
Maine Behavioral Healthcare,Accounts Payable and Accrued Expenses,,,,,5670084
Maine Behavioral Healthcare,Estimated Third Party Settlements,,,,,
Maine Behavioral Healthcare,Due to Affiliates,,,,,364787
Maine Behavioral Healthcare,Other Current Liabilities,,,,,
Maine Behavioral Healthcare,Total Non-current Liabilities,,,,,30391211
Maine Behavioral Healthcare,Long Term Debt,,,,,22313453
Maine Behavioral Healthcare,Estimated Third Party Settlements,,,,,7576123
Maine Behavioral Healthcare,Due to Affiliates,,,,,
Maine Behavioral Healthcare,Self Insurance Fund,,,,,
Maine Behavioral Healthcare,Accrued Pension and Post Retiree Health Benefits,,,,,
Maine Behavioral Healthcare,Other Non-Current Liabilities,,,,,501635
Maine Behavioral Healthcare,Fund Balance Unrestricted,,,,,16975863
Maine Behavioral Healthcare,Total Liabilities & Equity,,,,,54730404
Maine Behavioral Healthcare,Total Restricted Assets,,,,,1438255
Maine Behavioral Healthcare,Cash and Investments,,,,,1438255
Maine Behavioral Healthcare,Receivables,,,,,
Maine Behavioral Healthcare,Other Assets,,,,,
Maine Behavioral Healthcare,Total Restricted Liabilities and Equity,,,,,1438255
Maine Behavioral Healthcare,Total Restricted Fund Balance,,,,,1427079
Maine Behavioral Healthcare,Total Liabilities,,,,,11176
Maine Behavioral Healthcare,Temporarily Restricted Net Assets,,,,,758834
Maine Behavioral Healthcare,Permanently Restricted Net Assets,,,,,668245
Maine Behavioral Healthcare,Total Gross Patient Service Revenue,,,,,
Maine Behavioral Healthcare,Gross Inpatient Service Revenue,,,,,52533547
Maine Behavioral Healthcare,Gross Outpatient Service Revenue,,,,,43584357
Maine Behavioral Healthcare,Free Care,,,,,
Maine Behavioral Healthcare,Bad Debt,,,,,
Maine Behavioral Healthcare,Contractuals,,,,,22697459
Maine Behavioral Healthcare,Changes in Prior Year Estimated/Final Settlements,,,,,
Maine Behavioral Healthcare,Net Patient Service Revenue,,,,,64118076
Maine Behavioral Healthcare,Other Operating Revenue,,,,,10030567
Maine Behavioral Healthcare,Total Operating Revenue,,,,,74148643
Maine Behavioral Healthcare,Total Operating Expenses,,,,,73844430
Maine Behavioral Healthcare,Depreciation and Amortization,,,,,1877847
Maine Behavioral Healthcare,Interest,,,,,955457
Maine Behavioral Healthcare,Advertising Expenses,,,,,24333
Maine Behavioral Healthcare,Allowed Advertising Expenses,,,,,
Maine Behavioral Healthcare,Non-Allowed Advertising Expenses,,,,,24333
Maine Behavioral Healthcare,Salaries and Benefits,,,,,56318941
Maine Behavioral Healthcare,Other Operating Expenses,,,,,14667852
Maine Behavioral Healthcare,Net Operating Income,,,,,304213
Maine Behavioral Healthcare,Total Non-operating Revenue,,,,,94212
Maine Behavioral Healthcare,Total Investment Income,,,,,94212
Maine Behavioral Healthcare,Interest and Dividends,,,,,94212
Maine Behavioral Healthcare,Realized Gains/Losses on Sales of Securities,,,,,
Maine Behavioral Healthcare,Permanently Impaired Security Writedowns,,,,,
Maine Behavioral Healthcare,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Maine Behavioral Healthcare,Permanently Impaired Writedowns of Other Assets,,,,,
Maine Behavioral Healthcare,Other Non-Operating Revenues,,,,,
Maine Behavioral Healthcare,Excess of Revenue over Expenses,,,,,398425
Maine Behavioral Healthcare,Extraordinary Gains/Losses,,,,,
Maine Behavioral Healthcare,Total Surplus/Deficit,,,,,398425
Maine Behavioral Healthcare,Total Change in Unrestricted Net Assets,,,,,305425
Maine Behavioral Healthcare,Net Assets Released for Restrictions,,,,,
Maine Behavioral Healthcare,Unrealized Gains/Losses on Investments,,,,,
Maine Behavioral Healthcare,Minimum Pension Liability Adjustment,,,,,
Maine Behavioral Healthcare,Transfers From/To Affiliates,,,,,-93000
Maine Behavioral Healthcare,Mergers,,,,,
Maine Behavioral Healthcare,Consolidations with Support,,,,,
Maine Behavioral Healthcare,Other Changes,,,,,
Maine Coast Memorial Hospital,Total Current Assets,25296422,21245926,19843234,29039012,15578088
Maine Coast Memorial Hospital,Cash and Investment,14113355,11405838,7940040,5574101,2158158
Maine Coast Memorial Hospital,Current Assets Whose Use is Limited,621407,746658,774388,489278,718255
Maine Coast Memorial Hospital,Net Patient Accounts Receivable,7337156,7111606,9122240,8868070,9982229
Maine Coast Memorial Hospital,Due from Affiliates,,44238,46497,51855,107949
Maine Coast Memorial Hospital,Third Party Settlements Receivable,,,,12402188,1056027
Maine Coast Memorial Hospital,Other Accounts Receivable,1637898,,,,
Maine Coast Memorial Hospital,Inventory,711988,713309,685665,594493,503588
Maine Coast Memorial Hospital,Other Current Assets,874618,1224277,1274404,1059027,1051882
Maine Coast Memorial Hospital,Total Non-Current Assets,44485412,51867861,53782148,47169836,54279696
Maine Coast Memorial Hospital,Trustee Held Investments,,,,,
Maine Coast Memorial Hospital,Board Designated and Undesignated Investments,4365205,9588485,9985147,11260995,19738310
Maine Coast Memorial Hospital,Due From Affiliates,,,,,
Maine Coast Memorial Hospital,Investments in Affiliates,,,,,
Maine Coast Memorial Hospital,Other Non-current Assets,4607417,8514564,10641993,2234589,2625237
Maine Coast Memorial Hospital,"Gross Property, Plant and Equipment",,58932476,58959840,61605138,65010496
Maine Coast Memorial Hospital,Accumulated Depreciation,23419686,25195028,28450130,31336244,33878376
Maine Coast Memorial Hospital,"Net Property, Plant and Equipment",,35512790,33764812,33155008,33674252
Maine Coast Memorial Hospital,Total Unrestricted Assets,69781834,73113787,73625382,76208848,69857784
Maine Coast Memorial Hospital,Total Current Liabilities,15062764,13277979,14495685,16184919,12963994
Maine Coast Memorial Hospital,Current Long Term Debt,,997222,1159395,1245947,691080
Maine Coast Memorial Hospital,Accounts Payable and Accrued Expenses,10195970,9307744,8748621,8611806,8584652
Maine Coast Memorial Hospital,Estimated Third Party Settlements,3869572,2810840,4501117,6882033,3784726
Maine Coast Memorial Hospital,Due to Affiliates,,,,,
Maine Coast Memorial Hospital,Other Current Liabilities,,,,,
Maine Coast Memorial Hospital,Total Non-current Liabilities,16565549,15579907,14468836,13830268,13363939
Maine Coast Memorial Hospital,Long Term Debt,16040828,14880937,13639621,12910818,12287655
Maine Coast Memorial Hospital,Estimated Third Party Settlements,,,,,
Maine Coast Memorial Hospital,Due to Affiliates,,,,,
Maine Coast Memorial Hospital,Self Insurance Fund,,,,,
Maine Coast Memorial Hospital,Accrued Pension and Post Retiree Health Benefits,,,,,
Maine Coast Memorial Hospital,Other Non-Current Liabilities,524721,698970,829215,919450,1076284
Maine Coast Memorial Hospital,Fund Balance Unrestricted,38153521,44255901,44660861,46193661,43529851
Maine Coast Memorial Hospital,Total Liabilities & Equity,69781834,73113787,73625382,76208848,69857784
Maine Coast Memorial Hospital,Total Restricted Assets,1332871,1188128,1476554,1077365,1192973
Maine Coast Memorial Hospital,Cash and Investments,1332871,1188128,1476554,1077365,1192973
Maine Coast Memorial Hospital,Receivables,,,,,
Maine Coast Memorial Hospital,Other Assets,,,,,
Maine Coast Memorial Hospital,Total Restricted Liabilities and Equity,1332870,1271598,1476554,1077365,1192973
Maine Coast Memorial Hospital,Total Restricted Fund Balance,1332870,1271598,1476554,1077365,1192973
Maine Coast Memorial Hospital,Total Liabilities,,,,,
Maine Coast Memorial Hospital,Temporarily Restricted Net Assets,663955,588127,789423,387488,491325
Maine Coast Memorial Hospital,Permanently Restricted Net Assets,668915,683471,687131,689877,701648
Maine Coast Memorial Hospital,Total Gross Patient Service Revenue,,164161086,170543286,173013129,169565275
Maine Coast Memorial Hospital,Gross Inpatient Service Revenue,49173418,51170837,46935220,46143227,38454820
Maine Coast Memorial Hospital,Gross Outpatient Service Revenue,114987668,119372449,126077909,123422048,125826325
Maine Coast Memorial Hospital,Free Care,,,4324113,4553317,4587246
Maine Coast Memorial Hospital,Bad Debt,,,,,5627128
Maine Coast Memorial Hospital,Contractuals,78181483,83301797,84254481,84969211,82194081
Maine Coast Memorial Hospital,Changes in Prior Year Estimated/Final Settlements,,-6854261,792000,-3900000,-24000
Maine Coast Memorial Hospital,Net Patient Service Revenue,76028362,84286642,78133001,77876823,71881223
Maine Coast Memorial Hospital,Other Operating Revenue,1790565,1409718,1794348,2295682,3612655
Maine Coast Memorial Hospital,Total Operating Revenue,77818927,85696360,79927349,80172505,75493878
Maine Coast Memorial Hospital,Total Operating Expenses,79242274,81028885,80951669,80547975,80417782
Maine Coast Memorial Hospital,Depreciation and Amortization,3061251,3519369,3512311,3363197,3376713
Maine Coast Memorial Hospital,Interest,622767,906474,835955,756010,695184
Maine Coast Memorial Hospital,Advertising Expenses,153004,,282824,259721,267579
Maine Coast Memorial Hospital,Allowed Advertising Expenses,37208,,31805,36687,32951
Maine Coast Memorial Hospital,Non-Allowed Advertising Expenses,115796,,251019,223034,234628
Maine Coast Memorial Hospital,Salaries and Benefits,52342605,52642786,52576833,50031165,48390518
Maine Coast Memorial Hospital,Other Operating Expenses,23062647,23960256,23743746,26137882,27687788
Maine Coast Memorial Hospital,Net Operating Income,-1423347,4667475,-1024320,-375470,-4923904
Maine Coast Memorial Hospital,Total Non-operating Revenue,1038170,553713,506805,668192,1176743
Maine Coast Memorial Hospital,Total Investment Income,348556,400105,259006,483756,904989
Maine Coast Memorial Hospital,Interest and Dividends,293199,274244,350955,394877,322026
Maine Coast Memorial Hospital,Realized Gains/Losses on Sales of Securities,55357,125861,-91949,88879,582963
Maine Coast Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Maine Coast Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Maine Coast Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Maine Coast Memorial Hospital,Other Non-Operating Revenues,,,,689614,153608
Maine Coast Memorial Hospital,Excess of Revenue over Expenses,-385177,5221188,-517515,292722,-3747161
Maine Coast Memorial Hospital,Extraordinary Gains/Losses,,,-45391,-116945,
Maine Coast Memorial Hospital,Total Surplus/Deficit,-385177,5221188,-562906,175777,-3747161
Maine Coast Memorial Hospital,Total Change in Unrestricted Net Assets,3893385,6102381,404960,1532800,-2663811
Maine Coast Memorial Hospital,Net Assets Released for Restrictions,,,4081550,431940,602713
Maine Coast Memorial Hospital,Unrealized Gains/Losses on Investments,197012,449253,365153,464913,945294
Maine Coast Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Maine Coast Memorial Hospital,Transfers From/To Affiliates,,,,,-222906
Maine Coast Memorial Hospital,Mergers,,,,,
Maine Coast Memorial Hospital,Consolidations with Support,,,,,
Maine Coast Memorial Hospital,Other Changes,,,,,
MaineGeneral Medical Center,Total Current Assets,80358838,89754291,65890424,124189532,143287437
MaineGeneral Medical Center,Cash and Investment,25352819,22204289,15802951,11626319,24042759
MaineGeneral Medical Center,Current Assets Whose Use is Limited,,,,,
MaineGeneral Medical Center,Net Patient Accounts Receivable,27949933,33992752,37884779,56876151,102008755
MaineGeneral Medical Center,Due from Affiliates,8363613,9264241,628842,240471,745108
MaineGeneral Medical Center,Third Party Settlements Receivable,9512378,13869274,,38000000,
MaineGeneral Medical Center,Other Accounts Receivable,,,,,
MaineGeneral Medical Center,Inventory,4309164,4694903,4005167,4573785,6401351
MaineGeneral Medical Center,Other Current Assets,4870931,5728832,7568685,12872806,10089464
MaineGeneral Medical Center,Total Non-Current Assets,214635680,232779305,552156260,512972857,518659419
MaineGeneral Medical Center,Trustee Held Investments,7634944,4141486,211933426,47248572,33593442
MaineGeneral Medical Center,Board Designated and Undesignated Investments,74386839,93416171,81678372,84984886,50399562
MaineGeneral Medical Center,Due From Affiliates,,,,,
MaineGeneral Medical Center,Investments in Affiliates,,,,,
MaineGeneral Medical Center,Other Non-current Assets,2563430,3041486,49293447,9506594,8159916
MaineGeneral Medical Center,"Gross Property, Plant and Equipment",,300313933,316013518,363716627,535142761
MaineGeneral Medical Center,Accumulated Depreciation,170263466,183833356,154465612,163909956,171683404
MaineGeneral Medical Center,"Net Property, Plant and Equipment",,130050467,132180162,209251015,371232805
MaineGeneral Medical Center,Total Unrestricted Assets,294994518,322533596,618046684,637162389,661946856
MaineGeneral Medical Center,Total Current Liabilities,37138434,41156825,81526301,77096164,87677821
MaineGeneral Medical Center,Current Long Term Debt,,5133348,4545003,5028990,2840693
MaineGeneral Medical Center,Accounts Payable and Accrued Expenses,24801542,27645503,45076992,42368502,43344722
MaineGeneral Medical Center,Estimated Third Party Settlements,,,9863021,9044570,13785620
MaineGeneral Medical Center,Due to Affiliates,2670179,4936470,5174219,4704694,8888859
MaineGeneral Medical Center,Other Current Liabilities,4533365,4029849,16383079,18137705,18758116
MaineGeneral Medical Center,Total Non-current Liabilities,81501577,65140180,355614487,338882968,332581140
MaineGeneral Medical Center,Long Term Debt,43420766,37956467,313576305,312201318,309300815
