Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Maine Coast Memorial Hospital,Total Operating Revenue,55789123,63234271,70869228,78188187,84637907
Maine Coast Memorial Hospital,Total Operating Expenses,54238221,61961925,68088208,75250793,81615691
Maine Coast Memorial Hospital,Depreciation and Amortization,1479922,2036203,1991366,2343303,2701489
Maine Coast Memorial Hospital,Interest,369507,560595,535846,588366,598686
Maine Coast Memorial Hospital,Other Operating Expenses,52388792,59365127,65560996,72319124,78315516
Maine Coast Memorial Hospital,Net Operating Income,1550902,1272346,2781020,2937394,3022216
Maine Coast Memorial Hospital,Total Non-operating Revenue,499307,580398,5716346,827905,-145821
Maine Coast Memorial Hospital,Total Investment Income,91204,492783,548102,696013,-459311
Maine Coast Memorial Hospital,Interest and Dividends,241802,403708,558723,752800,367030
Maine Coast Memorial Hospital,Realized Gains/Losses on Sales of Securities,-150598,89075,-10621,-56787,-826341
Maine Coast Memorial Hospital,Permanently Impaired Security Writedowns,,,,,
Maine Coast Memorial Hospital,Gains/Losses on Joint Ventures/Equity Investments,33014,-112573,-43562,-46473,-10408
Maine Coast Memorial Hospital,Permanently Impaired Writedowns of Other Assets,,,,,
Maine Coast Memorial Hospital,Other Non-Operating Revenues,,,,375089,200188
Maine Coast Memorial Hospital,Excess of Revenue over Expenses,2050209,1852744,8497366,3765299,2876395
Maine Coast Memorial Hospital,Extraordinary Gains/Losses,,,,,
Maine Coast Memorial Hospital,Total Surplus/Deficit,2050209,1852744,8497366,3765299,2876395
Maine Coast Memorial Hospital,Total Change in Unrestricted Net Assets,7460631,2084587,5168147,3918011,2409086
Maine Coast Memorial Hospital,Net Assets Released for Restrictions,,,5216501,192848,155049
Maine Coast Memorial Hospital,Unrealized Gains/Losses on Investments,193921,38995,515732,-170916,-193461
Maine Coast Memorial Hospital,Minimum Pension Liability Adjustment,,,,,
Maine Coast Memorial Hospital,Transfers From/To Affiliates,,,-4000000,-89161,-745457
Maine Coast Memorial Hospital,Mergers,,,,,
Maine Coast Memorial Hospital,Consolidations with Support,,,,,
Maine Coast Memorial Hospital,Other Changes,,,,,193461
MaineGeneral Medical Center,Total Current Assets,58785992,44463365,46323525,57210399,72223489
MaineGeneral Medical Center,Cash and Investment,7261808,9134827,4412164,8874769,27480687
MaineGeneral Medical Center,Current Assets Whose Use is Limited,,,,,
MaineGeneral Medical Center,Net Patient Accounts Receivable,21294157,21751393,25232258,24572341,23600364
MaineGeneral Medical Center,Due from Affiliates,721796,1030117,1166108,973208,483087
MaineGeneral Medical Center,Third Party Settlements Receivable,12055888,,8435881,14466070,12084099
MaineGeneral Medical Center,Other Accounts Receivable,,,,,
MaineGeneral Medical Center,Inventory,3954013,3867560,3691928,3806522,3813405
MaineGeneral Medical Center,Other Current Assets,13498330,8679468,3385186,4517489,4761847
MaineGeneral Medical Center,Total Non-Current Assets,184631254,235483935,259440305,232617038,204586617
MaineGeneral Medical Center,Trustee Held Investments,8914816,24302421,7604833,6311793,5786549
MaineGeneral Medical Center,Board Designated and Undesignated Investments,88167932,104365916,106986597,74468504,54932450
MaineGeneral Medical Center,Due From Affiliates,,,,,
MaineGeneral Medical Center,Investments in Affiliates,,,,,
MaineGeneral Medical Center,Other Non-current Assets,1998387,2440629,4636163,4266801,4016734
MaineGeneral Medical Center,"Gross Property, Plant and Equipment",,198710064,230098784,277644989,298199748
MaineGeneral Medical Center,Accumulated Depreciation,113159945,125723815,137432277,150629808,158885699
MaineGeneral Medical Center,"Net Property, Plant and Equipment",,85550119,104374969,140212712,147569940
MaineGeneral Medical Center,Total Unrestricted Assets,243417246,279947300,305763830,289827437,276810106
MaineGeneral Medical Center,Total Current Liabilities,27473761,30476677,34872245,30970522,32553737
MaineGeneral Medical Center,Current Long Term Debt,,3791385,3842581,5552002,5432838
MaineGeneral Medical Center,Accounts Payable and Accrued Expenses,15271661,15745736,21203132,19638445,23801767
MaineGeneral Medical Center,Estimated Third Party Settlements,,1321696,,,
MaineGeneral Medical Center,Due to Affiliates,3334442,4096464,3888092,2465037,296722
MaineGeneral Medical Center,Other Current Liabilities,5076273,5470200,4229019,3434202,3516900
MaineGeneral Medical Center,Total Non-current Liabilities,58293236,70770727,61035996,65213441,78461046
MaineGeneral Medical Center,Long Term Debt,40910649,63155160,58402617,53709099,48553619
MaineGeneral Medical Center,Estimated Third Party Settlements,,,,,
MaineGeneral Medical Center,Due to Affiliates,,,,,
MaineGeneral Medical Center,Self Insurance Fund,,,,,
MaineGeneral Medical Center,Accrued Pension and Post Retiree Health Benefits,17382587,6576161,1558881,10378944,28625183
MaineGeneral Medical Center,Other Non-Current Liabilities,,1039406,1074498,1125398,1282244
MaineGeneral Medical Center,Fund Balance Unrestricted,157650249,178699896,209855589,193643474,165795323
MaineGeneral Medical Center,Total Liabilities & Equity,243417246,279947300,305763830,289827437,276810106
MaineGeneral Medical Center,Total Restricted Assets,14837022,23458638,27539356,19027209,16936590
MaineGeneral Medical Center,Cash and Investments,14837022,23458638,24815322,17164049,14951700
MaineGeneral Medical Center,Receivables,,,2724034,1863160,1984890
MaineGeneral Medical Center,Other Assets,,,,,
MaineGeneral Medical Center,Total Restricted Liabilities and Equity,14837022,23458638,27539356,19027209,16936590
MaineGeneral Medical Center,Total Restricted Fund Balance,14837022,23458638,27539356,19027209,16936590
MaineGeneral Medical Center,Total Liabilities,,,,,
MaineGeneral Medical Center,Temporarily Restricted Net Assets,1885800,10317252,13256131,4351229,4282126
MaineGeneral Medical Center,Permanently Restricted Net Assets,12951222,13141386,14283225,14675980,12654464
MaineGeneral Medical Center,Total Gross Patient Service Revenue,,407610000,443343417,486006829,533629477
MaineGeneral Medical Center,Gross Inpatient Service Revenue,195183000,199069661,213011387,225161041,220358748
MaineGeneral Medical Center,Gross Outpatient Service Revenue,212427000,244273756,272995442,308468436,341397446
MaineGeneral Medical Center,Free Care,,,4911143,5928924,6403906
MaineGeneral Medical Center,Bad Debt,,,,,12126435
MaineGeneral Medical Center,Contractuals,164117283,179230802,195294725,231008360,255342926
MaineGeneral Medical Center,Changes in Prior Year Estimated/Final Settlements,,-4100000,-2906000,-1142000,-4638000
MaineGeneral Medical Center,Net Patient Service Revenue,226455139,247194524,267993540,279715501,287512622
MaineGeneral Medical Center,Other Operating Revenue,7546723,9053466,10955632,10532637,13103431
MaineGeneral Medical Center,Total Operating Revenue,234001862,256247990,278949172,290248138,300616053
MaineGeneral Medical Center,Total Operating Expenses,226049948,247508243,271501320,297083357,293000501
MaineGeneral Medical Center,Depreciation and Amortization,13304807,14609108,16308239,19847592,21619353
MaineGeneral Medical Center,Interest,2146276,1838655,2247348,2863257,2683866
MaineGeneral Medical Center,Other Operating Expenses,210598865,231060480,252945733,274372508,268697282
MaineGeneral Medical Center,Net Operating Income,7951914,8739747,7447852,-6835219,7615552
MaineGeneral Medical Center,Total Non-operating Revenue,3365742,11043643,8880993,2975164,-10821704
MaineGeneral Medical Center,Total Investment Income,2794550,10594877,8237788,2388301,-11253247
MaineGeneral Medical Center,Interest and Dividends,3321279,7673138,9821780,6624329,1942499
MaineGeneral Medical Center,Realized Gains/Losses on Sales of Securities,-526729,2921739,-1583992,-4236028,-573587
MaineGeneral Medical Center,Permanently Impaired Security Writedowns,,,,,-12622159
MaineGeneral Medical Center,Gains/Losses on Joint Ventures/Equity Investments,-58199,30327,,,
MaineGeneral Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
MaineGeneral Medical Center,Other Non-Operating Revenues,,,,629391,418439
MaineGeneral Medical Center,Excess of Revenue over Expenses,11317656,19783390,16328845,-3860055,-3206152
MaineGeneral Medical Center,Extraordinary Gains/Losses,12550000,,,,
MaineGeneral Medical Center,Total Surplus/Deficit,23867656,19783390,16328845,-3860055,-3206152
MaineGeneral Medical Center,Total Change in Unrestricted Net Assets,14102237,21049647,31155693,-16212115,-27848151
MaineGeneral Medical Center,Net Assets Released for Restrictions,,,216803,48742,7956
MaineGeneral Medical Center,Unrealized Gains/Losses on Investments,4120511,-3959676,7589771,-10259339,-1140431
MaineGeneral Medical Center,Minimum Pension Liability Adjustment,-11163736,10456697,707040,-10238523,-19571071
MaineGeneral Medical Center,Transfers From/To Affiliates,-2938997,-4240100,-4800000,-4400000,-5800000
MaineGeneral Medical Center,Mergers,,,,,
MaineGeneral Medical Center,Consolidations with Support,,,,,
MaineGeneral Medical Center,Other Changes,,-1039406,11322081,,
Maine Medical Center,Total Current Assets,321729000,358482000,393570000,318332000,335694000
Maine Medical Center,Cash and Investment,226931000,260223000,288962000,239311000,259188000
Maine Medical Center,Current Assets Whose Use is Limited,21830000,39368000,23339000,4856000,6658000
Maine Medical Center,Net Patient Accounts Receivable,28411000,27895000,32121000,50441000,48132000
Maine Medical Center,Due from Affiliates,2335000,,10653000,2070000,3111000
Maine Medical Center,Third Party Settlements Receivable,33128000,15317000,26773000,7093000,2290000
Maine Medical Center,Other Accounts Receivable,,,,,
Maine Medical Center,Inventory,,,5066337,9594533,6077000
Maine Medical Center,Other Current Assets,9094000,15679000,6655663,4966467,10238000
Maine Medical Center,Total Non-Current Assets,360876000,449556000,497909000,546724000,581428000
Maine Medical Center,Trustee Held Investments,5425000,62575000,43230000,18807000,17695000
Maine Medical Center,Board Designated and Undesignated Investments,81896000,91719000,85461000,85113000,91689000
Maine Medical Center,Due From Affiliates,2573000,2454000,2454000,77000,77000
Maine Medical Center,Investments in Affiliates,,,,,
Maine Medical Center,Other Non-current Assets,25699000,12408000,15797000,42117000,44232000
Maine Medical Center,"Gross Property, Plant and Equipment",,519527000,537959610,631797000,688678041
Maine Medical Center,Accumulated Depreciation,274244000,257559610,280830000,288068041,308331000
Maine Medical Center,"Net Property, Plant and Equipment",,245283000,280400000,350967000,400610000
Maine Medical Center,Total Unrestricted Assets,682605000,808038000,891479000,865056000,917122000
Maine Medical Center,Total Current Liabilities,112262000,130263000,162691000,116175000,111195000
Maine Medical Center,Current Long Term Debt,,6606000,5068000,6951000,12280000
Maine Medical Center,Accounts Payable and Accrued Expenses,45842000,48072000,52369000,53745000,57708000
Maine Medical Center,Estimated Third Party Settlements,37771000,55735000,72772000,36482000,33246000
Maine Medical Center,Due to Affiliates,,3473000,12852000,12068000,6280000
Maine Medical Center,Other Current Liabilities,22043000,17915000,17747000,1600000,1801000
Maine Medical Center,Total Non-current Liabilities,84657000,175088000,191871000,223392000,338838000
Maine Medical Center,Long Term Debt,74841000,149771000,143375000,134771000,128899000
Maine Medical Center,Estimated Third Party Settlements,,,,,
Maine Medical Center,Due to Affiliates,,,,,
Maine Medical Center,Self Insurance Fund,,,,16772000,16477000
Maine Medical Center,Accrued Pension and Post Retiree Health Benefits,7675000,7881000,31257000,50616000,167712000
Maine Medical Center,Other Non-Current Liabilities,2141000,17436000,17239000,21233000,25750000
Maine Medical Center,Fund Balance Unrestricted,485686000,502687000,536917000,525489000,467089000
Maine Medical Center,Total Liabilities & Equity,682605000,808038000,891479000,865056000,917122000
Maine Medical Center,Total Restricted Assets,100232000,101142000,113081000,90564000,91213000
Maine Medical Center,Cash and Investments,100232000,101142000,113081000,90564000,91213000
Maine Medical Center,Receivables,,,,,
Maine Medical Center,Other Assets,,,,,
Maine Medical Center,Total Restricted Liabilities and Equity,100232000,101142000,113081000,90564000,91213000
Maine Medical Center,Total Restricted Fund Balance,100232000,101142000,113081000,90564000,91213000
Maine Medical Center,Total Liabilities,,,,,
Maine Medical Center,Temporarily Restricted Net Assets,82157000,81539000,92365000,69529000,69624000
Maine Medical Center,Permanently Restricted Net Assets,18075000,19603000,20716000,21035000,21589000
Maine Medical Center,Total Gross Patient Service Revenue,,841489000,864046000,906086000,1001892000
Maine Medical Center,Gross Inpatient Service Revenue,603890000,614223000,639499000,704873000,793099000
Maine Medical Center,Gross Outpatient Service Revenue,237599000,249823000,266587000,297019000,354316000
Maine Medical Center,Free Care,,,10986000,16703000,17423000
Maine Medical Center,Bad Debt,,,,,27218000
Maine Medical Center,Contractuals,278779000,277019000,299490000,348090000,421504000
Maine Medical Center,Changes in Prior Year Estimated/Final Settlements,-30697000,,-12296000,-7739000,-11898000
Maine Medical Center,Net Patient Service Revenue,555203000,549069000,578504000,620308000,683108000
Maine Medical Center,Other Operating Revenue,9162000,7995000,7837000,8004000,8678000
Maine Medical Center,Total Operating Revenue,564365000,557064000,586341000,628312000,691786000
Maine Medical Center,Total Operating Expenses,499432000,523649000,539763000,587572000,641032000
Maine Medical Center,Depreciation and Amortization,32451000,32322000,32274000,36392000,45407000
Maine Medical Center,Interest,4459000,2729000,2556000,3911000,5479000
Maine Medical Center,Other Operating Expenses,462522000,488598000,504933000,547269000,590146000
Maine Medical Center,Net Operating Income,64933000,33415000,46578000,40740000,50754000
Maine Medical Center,Total Non-operating Revenue,20745000,19133000,21817000,12751000,14149000
Maine Medical Center,Total Investment Income,15588000,17996000,19795000,11652000,12499000
Maine Medical Center,Interest and Dividends,13581000,17338000,21808000,15380000,16174000
Maine Medical Center,Realized Gains/Losses on Sales of Securities,2007000,658000,-2013000,-3728000,-3675000
Maine Medical Center,Permanently Impaired Security Writedowns,,,,,
Maine Medical Center,Gains/Losses on Joint Ventures/Equity Investments,3101000,-1391000,-378000,408000,354000
Maine Medical Center,Permanently Impaired Writedowns of Other Assets,,,,,
Maine Medical Center,Other Non-Operating Revenues,,,,2056000,2528000
Maine Medical Center,Excess of Revenue over Expenses,85678000,52548000,68395000,53491000,64903000
